event_id,GAGE_ID
7392,11109395
7523,13317000
7523,13342500
7523,13341050
7523,13340000
7523,13336500
7523,13337000
7523,13338500
7523,13337500
7523,13339500
7534,2169500
7534,2151500
7534,2162500
7534,2155500
7534,2154500
7536,14321000
7536,14320934
7538,11274000
7538,11261500
7538,11288000
7538,11269700
7538,11276600
7538,11276500
7538,11266500
7538,11274790
7538,11268000
7538,11259000
7538,11264500
7538,11281000
7538,11282000
7538,11258900
7538,11257100
7556,11467000
7564,11407000
7564,11404500
7568,11467510
7568,11467500
7569,11467510
7569,11467500
7570,11467000
7570,11465350
7572,11466800
7672,3215000
7672,3214500
7672,3214000
7672,3213700
7735,6893578
7737,12388700
7737,12372000
7737,12358500
7737,5017500
7737,5014500
7737,5014300
7737,5014000
7753,14211720
7753,14211010
7753,14211000
7753,14220500
7753,14207500
7753,14210000
7753,14209500
7753,14142500
7753,14101500
7753,14123500
7753,14200000
7753,14120000
7753,14137002
7753,14137000
7753,14136500
7753,14216000
7753,14128500
7753,14125500
7753,14222500
7753,14209000
7753,14140000
7753,14140001
7753,14143500
7753,14127000
7753,14118500
7753,14219000
7753,14211550
7753,14138850
7753,14206950
7753,14211500
7753,14141500
7753,14212000
7753,14139800
7753,14211400
7753,14142800
7753,14138900
7753,14134000
7753,14138800
7753,14139700
7753,14211315
7753,14138870
7753,14138720
7753,14211499
7753,14206900
7753,14199704
7754,14243500
7755,12462500
7755,12459000
7755,12457000
7755,12134500
7755,12133000
7755,12458000
7757,12128000
7762,14220500
7762,14301000
7762,14223500
7762,14245000
7764,14307620
7834,6707500
7834,6707000
7834,6700500
7856,12462500
7856,12459000
7856,12458000
7889,11269700
7929,13190500
7929,13186000
8021,4087120
8021,4087088
8021,4087119
8111,3189000
8120,3189600
8123,10164500
8421,3280000
8422,2056650
8728,7130500
8728,7124000
8728,7123000
8728,7119700
8728,7117000
8728,7109500
8728,7106500
8728,7106300
8728,7106000
8728,7105800
8728,7105530
8728,7105500
8728,7105490
8728,7105945
8741,11108500
8742,11108134
8743,11108500
8743,11108134
8896,10257550
8945,12125200
